;99;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
;00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
;01;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
;02;2.00;1.00;0.00;0.00;0.00;0.00;0.00;-0.50;-1.00;
;03;1.00;1.00;1.57;0.00;0.00;0.00;0.00;-0.50;-1.00;
;04;2.00;2.00;2.00;1.57;0.000001;3.14;0.00;-0.50;-1.00;
;05;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;-0.50;-1.00;
;06;1.00;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;
;07;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;
;08;2.00;2.00;2.00;1.57;0.000001;0.00;0.00;0.00;0.00;
;09;2.00;2.00;1.57;0.000001;0.00;0.00;0.00;-0.50;-1.00;
;10;1.00;1.00;1.00;1.00;0.00;0.00;0.00;-0.50;-1.00;
;11;1.00;1.00;0.00;0.00;0.00;0.00;0.00;-0.50;-1.00;
;12;1.00;1.00;0.00;0.00;0.00;0.00;1.571;0.00;-1.20;
;13;1.00;1.57;1.00;0.00;0.00;0.00;0.00;0.00;-1.60;
;14;1.00;0.000001;1.00;0.00;0.00;0.00;0.00;0.00;-4.00;
;15;1.00;0.000001;1.00;0.00;0.00;0.00;0.00;0.00;0.00;
;16;1.00;1.00;1.00;0.00;0.00;0.00;0.00;-1.00;-2.00;
;17;1.00;1.00;0.000001;0.000001;1.00;0.00;0.00;0.00;0.00;
;18;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;-0.50;-1.00;
;19;1.00;1.00;0.000001;0.000001;1.00;0.00;0.00;0.00;0.00;
;20;1.00;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;
;21;1.00;1.00;1.00;0.00;0.00;0.00;0.00;-1.00;-2.00;
;22;1.00;1.00;1.57;1.00;0.00;0.00;0.00;-1.50;-3.00;
;23;1.00;1.00;1.00;0.00;0.00;0.00;0.00;-1.00;-2.00;
;24;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;0.00;0.00;
;25;1.00;1.00;0.000001;0.000001;1.00;0.00;0.00;0.00;0.00;
;26;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;0.00;0.00;
;27;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;-0.50;-1.00;
;28;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;-0.50;-1.00;
;29;1.00;1.00;1.00;0.000001;0.00;0.00;0.00;-1.00;-2.00;
;30;1.00;1.00;1.00;0.000001;1.00;0.00;0.00;0.00;0.00;
;31;1.00;1.00;1.00;1.00;0.00;0.00;0.00;-1.50;-3.00;
;32;1.00;1.00;1.00;1.00;0.00;0.00;0.00;-1.50;-3.00;
;33;2.00;4.71;2.00;0.00;0.00;0.00;0.00;0.00;-4.00;
;34;1.00;1.00;1.00;0.000001;1.00;0.00;0.00;-0.50;-1.00;
;35;1.00;1.00;1.00;0.000001;1.00;0.00;0.00;-0.50;-1.00;
;36;1.00;1.00;1.00;1.00;0.000001;0.00;0.00;-1.00;-2.00;
;37;1.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
;38;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;
;39;1.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;
;40;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;
;41;1.00;1.00;1.00;1.00;1.00;0.00;0.00;-2.00;-4.00;
